"x"
"BdWA1_I0006," 27.65637164
"BdWA1_I0052," 69.60109424
"BdWA1_I0494," 55.10040544
"BdWA1_I0605," 67.31553074
"BdWA1_I0615," 57.27842424
"BdWA1_I0861," 29.45629114
"BdWA1_I0916," 98.24713324
"BdWA1_I0926," 35.83085414
"BdWA1_I1236," 42.56727914
"BdWA1_II1530," 68.47104874
"BdWA1_II1931," 28.56389294
"BdWA1_II2226," 30.24754554
"BdWA1_II2373," 40.98504784
"BdWA1_II2442," 66.71335624
"BdWA1_III2670," 44.10787654
"BdWA1_III2856," 47.65581394
